Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Location
Stuyvesant Railroad Station,Columbia,01/27/1999,98NR01403,-73.784,42.3887661983,"(42.38876619830, -73.78400000000)"
Copeland Covered Bridge,Saratoga,08/06/1998,98NR01364,-74.1002,43.2208983435,"(43.22089834350, -74.10020000000)"
"Dove, Arthur, and Helen Torr Cottage",Suffolk,01/28/2000,98NR01292,-73.372,40.8880604078,"(40.88806040780, -73.37200000000)"
Fulton Public Library,Oswego,01/15/1999,98NR01417,-76.416,43.3196591144,"(43.31965911440, -76.41600000000)"
Pleasant Valley Grange Hall,Oneida,02/12/1999,98NR01396,-75.4399,42.9174474123,"(42.91744741230, -75.43990000000)"
Frying Pan Shoals Lightship No. 115,New York,01/28/1999,98NR01418,-74.0098,40.750222345,"(40.75022234500, -74.00980000000)"
Olive and Hurley Old School Baptist Church,Ulster,11/19/1998,98NR01401,-74.2121,41.9736178233,"(41.97361782330, -74.21210000000)"
Trinity Memorial Church,Broome,11/19/1998,98NR01412,-75.9193,42.0996036404,"(42.09960364040, -75.91930000000)"
Agudas Achim Synagogue,Sullivan,11/19/1998,98NR01413,-74.8239,41.9009849551,"(41.90098495510, -74.82390000000)"
Salisbury Center Grange Hall,Herkimer,02/12/1999,99NR01428,-74.7878,43.1422622673,"(43.14226226730, -74.78780000000)"
Log Cabin Church,Fulton,03/18/1999,99NR01431,-74.2945,43.042757747,"(43.04275774700, -74.29450000000)"
Buffalo City Hall,Erie,01/15/1999,98NR01425,-78.8793,42.8866186474,"(42.88661864740, -78.87930000000)"
Frazier Bridge,Essex,12/17/1998,98NR01410,-73.4221,43.8502928319,"(43.85029283190, -73.42210000000)"
Kibler High School,Erie,01/15/1999,99NR01438,-78.8806,43.0116838623,"(43.01168386230, -78.88060000000)"
Stone Farmhouse,Erie,02/01/1999,99NR01439,-78.8516,42.9231718434,"(42.92317184340, -78.85160000000)"
Chevro Ahavath Zion Synagogue,Sullivan,01/26/1999,99NR01445,-74.6767,41.6119704026,"(41.61197040260, -74.67670000000)"
Spring Glen Synagogue,Ulster,01/15/1999,99NR01449,-74.4288,41.6666808736,"(41.66668087360, -74.42880000000)"
B'nai Israel Synagogue,Sullivan,01/15/1999,99NR01446,-74.602,41.758212067,"(41.75821206700, -74.60200000000)"
Bikur Cholim B'nai Israel Synagogue,Sullivan,01/15/1999,99NR01448,-74.7993,41.7152760134,"(41.71527601340, -74.79930000000)"
Anshe Glen Wild Synagogue,Sullivan,01/15/1999,99NR01444,-74.5885,41.6502706475,"(41.65027064750, -74.58850000000)"
Women's Community Club of South Valley,Otsego,02/01/1999,99NR01447,-74.7106,42.7060783946,"(42.70607839460, -74.71060000000)"
Saint Mary's of the Mountain Church,Greene,01/27/1999,99NR01451,-74.1998,42.2042007824,"(42.20420078240, -74.19980000000)"
"Rose, William H., House",Rockland,04/15/1999,99NR01452,-73.9841,41.2336256301,"(41.23362563010, -73.98410000000)"
Ontario & Western Railroad Passenger Station,Ulster,02/22/1999,99NR01453,-74.3652,41.7397572079,"(41.73975720790, -74.36520000000)"
"Fifth Avenue, Houses at 1026-1028",New York,02/12/1999,98NR01393,-73.9612,40.7799094298,"(40.77990942980, -73.96120000000)"
Prince George Hotel,New York,02/12/1999,99NR01429,-73.9866,40.7440125153,"(40.74401251530, -73.98660000000)"
Lord and Burnham Building,Westchester,02/12/1999,99NR01436,-73.8726,41.0394013445,"(41.03940134450, -73.87260000000)"
Prospect Hall,Kings,04/15/1999,98NR01397,-73.9894,40.6639309136,"(40.66393091360, -73.98940000000)"
Thompson AME Zion Church,Cayuga,04/02/1999,98NR01422,-76.5759,42.9232697342,"(42.92326973420, -76.57590000000)"
"Tubman, Harriet, Grave Site",Cayuga,04/02/1999,98NR01423,-76.5742,42.9247872881,"(42.92478728810, -76.57420000000)"
First Baptist Church of Painted Post,Steuben,02/05/1999,99NR01434,-77.0942,42.1583578229,"(42.15835782290, -77.09420000000)"
First Congregational Church of Otto,Cattaraugus,02/12/1999,99NR01433,-78.8274,42.3557212754,"(42.35572127540, -78.82740000000)"
Northrup Hill School District 10,Steuben,02/12/1999,99NR01435,-77.3745,42.1477993822,"(42.14779938220, -77.37450000000)"
"Dorrance, W.H., House",Oneida,04/29/1999,99NR01456,-75.7438,43.3364295174,"(43.33642951740, -75.74380000000)"
Wall Street Methodist Episcopal Church,Cayuga,04/29/1999,98NR01424,-76.5784,42.9352534591,"(42.93525345910, -76.57840000000)"
Bay Ridge United Methodist Church,Kings,09/09/1999,99NR01471,-74.0243,40.6337349854,"(40.63373498540, -74.02430000000)"
Queen's Castle,Seneca,06/01/1999,99NR01432,-76.8814,42.5510945897,"(42.55109458970, -76.88140000000)"
Fitches Covered Bridge,Delaware,04/29/1999,99NR01465,-74.8793,42.2983508573,"(42.29835085730, -74.87930000000)"
Downsville Covered Bridge,Delaware,04/29/1999,99NR01466,-74.9907,42.0762191978,"(42.07621919780, -74.99070000000)"
Hamden Covered Bridge,Delaware,04/29/1999,99NR01468,-74.9883,42.1957079398,"(42.19570793980, -74.98830000000)"
Lower Shavertown Covered Bridge,Delaware,04/29/1999,99NR01467,-75.013,41.9238590788,"(41.92385907880, -75.01300000000)"
Wanakena Foot Bridge,St. Lawrence,08/19/1999,98NR01340,-74.9212,44.1331095728,"(44.13310957280, -74.92120000000)"
First Presbyterian Church,Monroe,06/25/1999,99NR01464,-77.9373,43.2145621744,"(43.21456217440, -77.93730000000)"
"Chamberlain, Benjamin, House",Fulton,08/12/1999,99NR01497,-74.3723,43.0042304911,"(43.00423049110, -74.37230000000)"
"Brunel, Emile, Studio and Sculpture Garden",Ulster,08/12/1999,99NR01477,-74.264,41.9997803496,"(41.99978034960, -74.26400000000)"
Old School Baptist Church of Halcottsville,Delaware,07/08/1999,99NR01474,-74.6008,42.2071117836,"(42.20711178360, -74.60080000000)"
Second Old School Baptist Church of Roxbury,Delaware,07/28/1999,99NR01475,-74.5948,42.2649759544,"(42.26497595440, -74.59480000000)"
Mull House and Cemetery,Albany,07/22/1999,99NR01476,-73.7814,42.5050753912,"(42.50507539120, -73.78140000000)"
Mull House and Cemetery,Albany,07/22/1999,99NR01476,-73.7814,42.5061167384,"(42.50611673840, -73.78140000000)"
Stony Hill Cemetery,Westchester,06/25/1999,99NR01469,-73.7493,41.0552055036,"(41.05520550360, -73.74930000000)"
Peck House,Columbia,07/22/1999,99NR01493,-73.6332,42.4749834973,"(42.47498349730, -73.63320000000)"
Graham-Brush Log House,Dutchess,07/22/1999,99NR01492,-73.6552,41.9801823009,"(41.98018230090, -73.65520000000)"
"Frisbie, Augustus, House",Herkimer,12/09/1999,99NR01496,-74.7866,43.1429696943,"(43.14296969430, -74.78660000000)"
Goodwill Theatre,Broome,01/07/2000,99NR01502,-75.9551,42.11391994,"(42.11391994000, -75.95510000000)"
Christ Episcopal Church,Delaware,05/18/1999,90NR03175,-75.1287,42.1697639705,"(42.16976397050, -75.12870000000)"
Quogue Life-Saving Station,Suffolk,05/27/1999,99NR01441,-72.5993,40.8075435264,"(40.80754352640, -72.59930000000)"
"Hasbrouck, Major Jacob Jr., Stone House",Ulster,07/20/1999,99NR01490,-74.0859,41.7607887902,"(41.76078879020, -74.08590000000)"
First Presbyterian Church of Ulysses,Tompkins,06/03/1999,99NR01494,-76.6586,42.5414203212,"(42.54142032120, -76.65860000000)"
Saint James Church,Queens,11/12/1999,99NR01470,-73.8774,40.7385673909,"(40.73856739090, -73.87740000000)"
International House,New York,09/10/2000,99NR01460,-73.9615,40.8138036572,"(40.81380365720, -73.96150000000)"
"Keeper's House, Williamsbridge Reservoir",Bronx,09/24/1999,99NR01459,-73.8757,40.8790107105,"(40.87901071050, -73.87570000000)"
Winfield Corners Stone House,Ulster,08/12/1999,99NR01482,-74.1949,41.8222807414,"(41.82228074140, -74.19490000000)"
"Van Wagenen, Jacobus, Stone House",Ulster,08/12/1999,99NR01488,-74.1771,41.8042922409,"(41.80429224090, -74.17710000000)"
Petrified Sea Gardens,Saratoga,01/20/1999,99NR01522,-73.8441,43.0831709502,"(43.08317095020, -73.84410000000)"
Tifereth Israel Anshei Parksville Synagogue,Sullivan,08/12/1999,99NR01524,-74.7622,41.8580707767,"(41.85807077670, -74.76220000000)"
Jewish Community Center of White Sulpher Springs,Sullivan,08/12/1999,99NR01525,-74.8308,41.7989800132,"(41.79898001320, -74.83080000000)"
"Jordan, Dr. Abram, House (Wedding Present House)",Columbia,09/09/1999,97NR01201,-73.7227,42.2249264326,"(42.22492643260, -73.72270000000)"
